Date+A1,Open,High,Low,Close,Volume,3M_before,Close_3M_before,3M_UP/DOWN,6M_before,Close_6M_before,6M_UP/DOWN,9M_before,Close_9M_before,9M_UP/DOWN,12_before,Close_12_before,12M_UP/DOWN
05/01/20,373.58,373.76,371.44,373.13,82003046,04/10/20,345.46,0,04/07/20,339.51,0,04/04/20,357.64,0,04/01/20,,
05/01/21,372.16,373.35,371.48,372.8,99052578,04/10/21,347.16,0,04/07/21,342.97,0,04/04/21,354.93,0,04/01/21,,
05/01/24,371.03,371.94,368.77,371.94,85534009,04/10/24,,,04/07/24,,,04/04/24,,,04/01/24,,
05/01/25,371.1,375.33,371.07,374.81,79152367,04/10/25,340.51,0,04/07/25,,,04/04/25,,,04/01/25,,
05/01/26,375.02,375.56,373.09,373.29,104493443,04/10/26,341.16,0,04/07/26,332.73,0,04/04/26,363.1,0,04/01/26,,
05/01/27,373.33,374.05,370.97,373.34,122353061,04/10/27,346.57,0,04/07/27,337.53,0,04/04/27,363.64,0,04/01/27,,
05/01/28,374.2,374.89,371.25,372.29,77608306,04/10/28,349.05,0,04/07/28,337.3,0,04/04/28,357.9,0,04/01/28,,
05/01/31,373.3,376.08,373.3,376.07,81573040,04/10/31,,,04/07/31,,,04/04/30,351.43,0,04/01/31,,
05/02/01,376.31,378.18,375.73,378.15,84445929,04/11/01,353.3,0,04/08/01,,,04/05/01,,,04/02/01,,
05/02/02,378.44,379.96,378.41,379.82,93226832,04/11/02,355.43,0,04/08/02,341.36,0,04/05/02,,,04/02/02,,
05/02/03,379.61,380.35,378.18,378.78,88701491,04/11/03,355.58,0,04/08/03,342.53,0,04/05/03,353.37,0,04/02/03,,
05/02/04,379.94,383.52,379.81,383.52,92125685,04/11/04,355.69,0,04/08/04,337.75,0,04/05/04,352.2,0,04/02/04,,
05/02/07,384.21,386.34,384.21,385.72,87971152,04/11/07,,,04/08/07,,,04/05/07,343.98,0,04/02/07,,
05/02/08,385.96,386.57,385.16,386.34,70320936,04/11/08,358.21,0,04/08/08,,,04/05/08,,,04/02/08,,
05/02/09,386.35,387.55,384.22,384.95,91196922,04/11/09,357.92,0,04/08/09,325.83,0,04/05/09,,,04/02/09,,
05/02/10,385.29,385.69,383.52,383.79,86826217,04/11/10,360,0,04/08/10,328.48,0,04/05/10,334.02,0,04/02/10,,
05/02/11,385.01,388.05,384.96,387.8,84948730,04/11/11,363.24,0,04/08/11,325.09,0,04/05/11,339.49,0,04/02/11,,
05/02/14,388.37,388.62,386.74,387.83,70585697,04/11/14,,,04/08/14,,,04/05/14,336.13,0,04/02/14,,
05/02/15,387.73,389.6,387.06,389.14,74915123,04/11/15,363.41,0,04/08/15,,,04/05/15,,,04/02/15,,
05/02/16,388.33,388.33,384.93,386.5,82362766,04/11/16,361.91,0,04/08/16,326.81,0,04/05/16,,,04/02/16,,
05/02/17,386.57,388.1,386.08,386.78,73078096,04/11/17,367.25,0,04/08/17,327.72,0,04/05/17,331.32,0,04/02/17,,
05/02/18,386.11,388.21,385.5,386.11,97017446,04/11/18,367.03,0,04/08/18,329.33,0,04/05/18,334.49,0,04/02/18,,
05/02/21,386.34,387.24,385.1,385.75,73272644,04/11/21,,,04/08/21,,,04/05/21,338.42,0,04/02/21,,
05/02/22,385.51,385.51,381.69,383.22,85036652,04/11/22,362.67,0,04/08/22,,,04/05/22,,,04/02/22,,
05/02/23,380.92,381.97,379.21,381.97,90094165,04/11/23,361.97,0,04/08/23,332.93,0,04/05/23,,,04/02/23,,
05/02/24,381.54,382.16,380.28,381.62,86897749,04/11/24,362.96,0,04/08/24,332.99,0,04/05/24,341.41,0,04/02/24,,
05/02/25,383.36,385.59,383.36,385.33,94287713,04/11/25,365.6,0,04/08/25,334.33,0,04/05/25,338.17,0,04/02/25,,
05/02/28,386.71,387.5,385.39,385.75,88442027,04/11/28,,,04/08/28,,,04/05/28,344.55,0,04/02/28,,
05/03/01,385.1,388.63,384.56,388.37,87219137,04/12/01,367.84,0,04/09/01,336.57,0,04/06/01,341.62,0,04/03/01,,
05/03/02,387.72,389.31,386.93,389.17,82877759,04/12/02,370.46,0,04/09/02,337.89,0,04/06/02,343.48,0,04/03/02,,
05/03/03,387.54,389.57,387.54,387.62,89993813,04/12/03,370.04,0,04/09/03,340.47,0,04/06/03,345.72,0,04/03/03,,
05/03/04,388.33,391.4,387.6,391.4,89709551,04/12/04,,,04/09/04,,,04/06/04,349.56,0,04/03/04,,
05/03/07,391.58,392.34,391.17,391.94,71849631,04/12/07,370.27,0,04/09/07,342.76,0,04/06/07,354.13,0,04/03/07,,
05/03/08,391.12,391.43,388.69,389.33,88463821,04/12/08,369.44,0,04/09/08,342.28,0,04/06/08,354.27,0,04/03/08,,
05/03/09,389.22,391.95,387.05,387.79,95092275,04/12/09,365.2,0,04/09/09,339.69,0,04/06/09,352.54,0,04/03/09,,
05/03/10,385.83,386.91,384.32,384.84,109512909,04/12/10,367.12,0,04/09/10,342.65,0,04/06/10,354.48,0,04/03/10,,
05/03/11,386.57,388.02,386.05,386.56,90533268,04/12/11,,,04/09/11,,,04/06/11,353.85,0,04/03/11,,
05/03/14,385.91,387.05,384.9,386.79,60741274,04/12/14,371.58,0,04/09/14,347.72,0,04/06/14,348.63,0,04/03/14,,
05/03/15,386.99,388.64,386.99,388.38,86020085,04/12/15,370.39,0,04/09/15,347.12,0,04/06/15,351.65,0,04/03/15,335.97,0
05/03/16,387.23,388.1,381.58,382.2,111022103,04/12/16,372.04,0,04/09/16,349.04,0,04/06/16,353.09,0,04/03/16,336.6,0
05/03/17,382.05,383.09,381.19,382.64,85304485,04/12/17,368.09,0,04/09/17,351.08,0,04/06/17,351.76,0,04/03/17,342.93,0
05/03/18,383,384.62,382.46,383.78,129027948,04/12/18,,,04/09/18,,,04/06/18,352.77,0,04/03/18,337.34,0
05/03/21,383.67,384.55,381.16,381.23,76888098,04/12/21,370.79,0,04/09/21,351.31,0,04/06/21,352.02,0,04/03/21,,
05/03/22,381.95,383.24,379.99,383.07,75796173,04/12/22,372.92,0,04/09/22,347.59,0,04/06/22,347.28,0,04/03/22,328.7,0
05/03/23,381.33,382.96,379.52,382.46,84954015,04/12/23,373.74,0,04/09/23,344.56,0,04/06/23,348.63,0,04/03/23,328.86,0
05/03/24,383.18,384.89,382.3,384.63,70508282,04/12/24,,,04/09/24,344.94,0,04/06/24,353.44,0,04/03/24,328.78,0
05/03/29,383.65,385.11,381.95,385.11,63336914,04/12/29,373.26,0,04/09/29,345.68,0,04/06/29,358.61,0,04/03/29,342.11,0
05/03/30,383.2,384.86,382.65,384.86,68386020,04/12/30,374.09,0,04/09/30,343.65,0,04/06/30,357.49,0,04/03/30,341.45,0
05/03/31,386.73,387.16,384.93,385.3,73621026,04/12/31,,,04/09/30,343.65,0,04/06/30,357.49,0,04/03/31,340.35,0
05/04/01,385.24,389.21,385.24,387.73,78892982,05/01/01,,,04/10/01,351.8,0,04/07/01,356.12,0,04/04/01,346.04,0
05/04/04,385.98,386.42,383.64,385.05,64971076,05/01/04,377.56,0,04/10/04,355.12,0,04/07/04,,,04/04/04,,
05/04/05,386.85,387.08,386.14,386.89,58952812,05/01/05,375.01,0,04/10/05,356.32,0,04/07/05,352.83,0,04/04/05,356.06,0
05/04/06,387.65,388.36,386.94,388.36,71297877,05/01/06,378.38,0,04/10/06,356.39,0,04/07/06,348.57,0,04/04/06,353.91,0
05/04/07,387.64,389.44,386.51,389.12,77664922,05/01/07,379.89,0,04/10/07,355.88,0,04/07/07,347.48,0,04/04/07,352.47,0
05/04/08,390.14,391.25,389.9,390.38,64827938,05/01/08,,,04/10/08,353.69,0,04/07/08,347.72,0,04/04/08,353.5,0
05/04/11,388.97,390.77,388.72,390,52731455,05/01/11,375.36,0,04/10/11,353.92,0,04/07/11,,,04/04/11,,
05/04/12,390.06,390.39,387.76,388.19,65153929,05/01/12,371.41,0,04/10/12,349.02,0,04/07/12,344.06,0,04/04/12,,
05/04/13,390.15,391.28,389.96,391.03,82547740,05/01/13,371.85,0,04/10/13,350.64,0,04/07/13,344.84,0,04/04/13,358.1,0
05/04/14,389.43,391.94,389.04,390.51,86848501,05/01/14,373.69,0,04/10/14,347.76,0,04/07/14,344.25,0,04/04/14,353.25,0
05/04/15,389.16,389.16,382.68,382.85,131202139,05/01/15,,,04/10/15,346.37,0,04/07/15,340.16,0,04/04/15,352.59,0
05/04/18,382.79,382.79,371.96,373.14,141303216,05/01/18,375.51,1,04/10/18,345.65,0,04/07/18,,,04/04/18,,
05/04/19,374.18,375.1,372.95,373.75,96545508,05/01/19,375.22,1,04/10/19,349.62,0,04/07/19,337.51,0,04/04/19,354.52,0
05/04/20,374.86,375.46,371.05,372,102255900,05/01/20,373.13,1,04/10/20,345.46,0,04/07/20,339.51,0,04/04/20,357.64,0
05/04/21,370.58,374.2,370.58,372.89,96745643,05/01/21,372.8,0,04/10/21,347.16,0,04/07/21,342.97,0,04/04/21,354.93,0
05/04/22,374.17,376.39,374.14,375.21,75030346,05/01/22,,,04/10/22,347.28,0,04/07/22,336.7,0,04/04/22,357.58,0
05/04/25,374.31,377.2,373.67,377.16,60073108,05/01/25,374.81,0,04/10/25,340.51,0,04/07/25,,,04/04/25,,
05/04/26,377.17,377.19,373.96,375.77,78939790,05/01/26,373.29,0,04/10/26,341.16,0,04/07/26,332.73,0,04/04/26,363.1,0
05/04/27,374.35,374.47,369.21,371.59,104939657,05/01/27,373.34,1,04/10/27,346.57,0,04/07/27,337.53,0,04/04/27,363.64,0
05/04/28,373.13,373.6,369.39,370.44,100743088,05/01/28,372.29,1,04/10/28,349.05,0,04/07/28,337.3,0,04/04/28,357.9,0
05/04/29,369.26,372.71,368.86,370.89,90499573,05/01/29,,,04/10/29,348.94,0,04/07/29,343.62,0,04/04/29,353.03,0
05/05/02,372.6,375.24,372.6,374.36,48243649,05/02/02,379.82,1,04/11/02,355.43,0,04/08/02,341.36,0,04/05/02,,
05/05/03,375.21,376.22,374.05,376.22,67642152,05/02/03,378.78,1,04/11/03,355.58,0,04/08/03,342.53,0,04/05/03,353.37,0
05/05/04,376.43,377.78,374.76,377.77,93113304,05/02/04,383.52,1,04/11/04,355.69,0,04/08/04,337.75,0,04/05/04,352.2,0
05/05/05,378.6,381.08,378.56,380.72,54536761,05/02/05,,,04/11/05,357.65,0,04/08/05,338.35,0,04/05/05,354.56,0
05/05/06,380.56,381.83,378.9,381.7,73964754,05/02/06,,,04/11/06,,,04/08/06,329.71,0,04/05/06,345.19,0
05/05/09,381.35,381.35,379.49,380.58,67305153,05/02/09,384.95,1,04/11/09,357.92,0,04/08/09,325.83,0,04/05/09,,
05/05/10,381.23,381.91,377.2,377.57,93130769,05/02/10,383.79,1,04/11/10,360,0,04/08/10,328.48,0,04/05/10,334.02,0
05/05/11,377.05,379.42,376.29,377.31,93071144,05/02/11,387.8,1,04/11/11,363.24,0,04/08/11,325.09,0,04/05/11,339.49,0
