Date,Open,High,Low,Close,Volume,Election_date,3M_before,Close_3M_before,3M_UP_DOWN,6M_before,Close_6M_before,6M_UP_DOWN,9M_before,Close_9M_before,9M_UP_DOWN,12_before,Close_12_before,12M_UP_DOWN,15_before,Close_15_before
02/06/07,386.670013,386.670013,386.670013,386.67 ,0,0,02/03/07,430.329987,0,01/12/07,421.089996,1,01/09/07,388.670013,0,01/06/07,489.049988,0,01/03/07,500.089996
02/06/10,385.130005,385.130005,385.130005,385.13 ,0,,02/03/10,,,01/12/10,415.920013,1,01/09/10,384.079987,1,01/06/10,,,01/03/10,
02/06/11,386.140015,386.140015,386.140015,386.14 ,0,0,02/03/11,433.589996,0,01/12/11,417.269989,1,01/09/11,357.25,0,01/06/11,488.910004,0,01/03/11,
02/06/12,379.579987,379.579987,379.579987,379.58 ,0,0,02/03/12,429.149994,0,01/12/12,411.549988,1,01/09/12,361.25,0,01/06/12,481.980011,1,01/03/12,480.929993
02/06/13,376.899994,376.899994,376.899994,376.90 ,0,0,02/03/13,427.059998,0,01/12/13,404.940002,1,01/09/13,364.220001,0,01/06/13,485.570007,1,01/03/13,474.200012
02/06/14,366.059998,366.059998,366.059998,366.06 ,0,0,02/03/14,428.730011,0,01/12/14,400.950012,1,01/09/14,346.309998,0,01/06/14,479.649994,1,01/03/14,461.589996
02/06/17,376.829987,376.829987,376.829987,376.83 ,0,,02/03/17,,,01/12/17,410.839996,1,01/09/17,352.309998,1,01/06/17,,,01/03/17,
02/06/18,374.029999,374.029999,374.029999,374.03 ,0,0,02/03/18,438.380005,0,01/12/18,409.670013,1,01/09/18,349.160004,0,01/06/18,472.350006,0,01/03/18,
02/06/19,368.480011,368.480011,368.480011,368.48 ,0,0,02/03/19,440.649994,0,01/12/19,405.920013,1,01/09/19,339.910004,0,01/06/19,473.269989,1,01/03/19,451.649994
02/06/20,361.73999,361.73999,361.73999,361.74 ,0,0,02/03/20,435.059998,0,01/12/20,403,1,01/09/20,323.339996,0,01/06/20,469.559998,1,01/03/20,460.48999
02/06/21,360.140015,360.140015,360.140015,360.14 ,0,0,02/03/21,434.299988,0,01/12/21,407.75,1,01/09/21,318.429993,0,01/06/21,473.079987,1,01/03/21,448.899994
02/06/24,351.529999,351.529999,351.529999,351.53 ,0,,02/03/24,,,01/12/24,407.75,1,01/09/24,335.820007,1,01/06/24,,,01/03/24,
02/06/25,357.440002,357.440002,357.440002,357.44 ,0,0,02/03/25,432.390015,0,01/12/25,407.75,1,01/09/25,334.170013,0,01/06/25,470.450012,0,01/03/25,
02/06/26,349.070007,349.070007,349.070007,349.07 ,0,0,02/03/26,436.579987,0,01/12/26,407.75,1,01/09/26,340.950012,0,01/06/26,466.769989,1,01/03/26,454.75
02/06/27,361.25,361.25,361.25,361.25 ,0,0,02/03/27,434.040009,0,01/12/27,414.309998,1,01/09/27,346.910004,0,01/06/27,465.779999,0,01/03/27,468.440002
02/06/28,371.200012,371.200012,371.200012,371.20 ,0,0,02/03/28,437.570007,0,01/12/28,417.399994,1,01/09/28,356.25,0,01/06/28,474.459991,1,01/03/28,460.369995
02/07/01,369.809998,369.809998,369.809998,369.81 ,0,0,02/04/01,437.570007,0,02/01/01,417.399994,1,01/10/01,352.410004,1,01/07/01,,,01/04/01,
02/07/02,356.579987,356.579987,356.579987,356.58 ,0,0,02/04/02,432.029999,0,02/01/02,418.48999,1,01/10/02,356.720001,0,01/07/02,482.98999,1,01/04/02,457.579987
02/07/03,351.859985,351.859985,351.859985,351.86 ,0,0,02/04/03,429.890015,0,02/01/03,426.279999,1,01/10/03,364.51001,0,01/07/03,479.450012,1,01/04/03,442.549988
02/07/04,360.660004,360.660004,360.660004,360.66 ,0,0,02/04/04,428.130005,1,02/01/04,429.779999,1,01/10/04,372.709991,0,01/07/04,476.459991,1,01/04/04,444.649994
02/07/05,377.950012,377.950012,377.950012,377.95 ,0,0,02/04/05,429.730011,0,02/01/05,,,01/10/05,369.850006,0,01/07/05,474.529999,1,01/04/05,456.890015
02/07/08,375.01001,375.01001,375.01001,375.01 ,0,0,02/04/08,424.399994,1,02/01/08,427.559998,1,01/10/08,369.540009,1,01/07/08,,,01/04/08,
02/07/09,369.390015,369.390015,369.390015,369.39 ,0,0,02/04/09,424.089996,1,02/01/09,432.029999,1,01/10/09,368.279999,0,01/07/09,464.910004,1,01/04/09,456.679993
02/07/10,355.75,355.75,355.75,355.75 ,0,0,02/04/10,429.790009,0,02/01/10,428.970001,1,01/10/10,376.890015,0,01/07/10,461.690002,0,01/04/10,465.600006
02/07/11,349.459991,349.459991,349.459991,349.46 ,0,0,02/04/11,423.420013,1,02/01/11,426.720001,1,01/10/11,385,0,01/07/11,459.649994,0,01/04/11,468.589996
02/07/12,350.559998,350.559998,350.559998,350.56 ,0,0,02/04/12,424.820007,0,02/01/12,,,01/10/12,379.700012,0,01/07/12,465.859985,0,01/04/12,472.130005
02/07/15,333.540009,333.540009,333.540009,333.54 ,0,0,02/04/15,428.26001,0,02/01/15,414.480011,1,01/10/15,375.51001,1,01/07/15,,,01/04/15,
02/07/16,337.660004,337.660004,337.660004,337.66 ,0,0,02/04/16,434.329987,0,02/01/16,408.75,1,01/10/16,381.23999,0,01/07/16,463.529999,0,01/04/16,472.130005
02/07/17,346.26001,346.26001,346.26001,346.26 ,0,0,02/04/17,432.76001,0,02/01/17,418.640015,1,01/10/17,382.910004,0,01/07/17,462.200012,0,01/04/17,467.410004
02/07/18,347.299988,347.299988,347.299988,347.30 ,0,0,02/04/18,429.279999,0,02/01/18,418.529999,1,01/10/18,378.709991,0,01/07/18,454.230011,0,01/04/18,483.660004
02/07/19,331.459991,331.459991,331.459991,331.46 ,0,0,02/04/19,430.299988,0,02/01/19,,,01/10/19,374.73999,0,01/07/19,460.609985,0,01/04/19,485.01001
