Date,Open,High,Low,Close,Volume,Election_date,3M_before,Close_3M_before,3M_UP_DOWN,6M_before,Close_6M_before,6M_UP_DOWN,9M_before,Close_9M_before,9M_UP_DOWN,12_before,Close_12_before,12M_UP_DOWN,15_before,Close_15_before
02/10/22,272.390015,272.390015,272.390015,272.39 ,0,0,02/07/22,315.799988,1,02/04/22,425.600006,1,02/01/22,415.149994,1,01/10/22,381.049988,0,01/07/22,
02/10/23,261.220001,261.220001,261.220001,261.22 ,0,0,02/07/23,301.890015,1,02/04/23,425.029999,1,02/01/23,422.399994,1,01/10/23,387.299988,0,01/07/23,457.299988
02/10/24,267.089996,267.089996,267.089996,267.09 ,0,0,02/07/24,309.910004,1,02/04/24,422.970001,1,02/01/24,422.910004,1,01/10/24,393.980011,0,01/07/24,450.160004
02/10/25,267.980011,267.980011,267.980011,267.98 ,0,0,02/07/25,302.059998,1,02/04/25,416.269989,0,02/01/25,422.359985,1,01/10/25,388.029999,0,01/07/25,444.859985
02/10/28,275.470001,275.470001,275.470001,275.47 ,0,,02/07/28,,,02/04/28,,,02/01/28,422.5,1,01/10/28,,,01/07/28,
02/10/29,261.730011,261.730011,261.730011,261.73 ,0,0,02/07/29,328.040009,1,02/04/29,413.170013,0,02/01/29,417.920013,1,01/10/29,385.049988,0,01/07/29,
02/10/30,268.920013,268.920013,268.920013,268.92 ,0,0,02/07/30,329.529999,1,02/04/30,415.320007,0,02/01/30,415.609985,1,01/10/30,376.720001,0,01/07/30,459.670013
02/10/31,272.440002,272.440002,272.440002,272.44 ,0,0,02/07/31,316.23999,1,02/04/30,415.320007,0,02/01/31,419.940002,1,01/10/31,377.640015,0,01/07/31,464.5
02/11/01,273.179993,273.179993,273.179993,273.18 ,0,0,02/08/01,309.059998,1,02/05/01,415.320007,0,02/02/01,419.160004,1,01/11/01,382.220001,0,01/08/01,463.320007
02/11/04,285.630005,285.630005,285.630005,285.63 ,0,,02/08/04,,,02/05/04,,,02/02/04,411.910004,1,01/11/04,,,01/08/04,
02/11/05,287.420013,287.420013,287.420013,287.42 ,0,0,02/08/05,287.679993,0,02/05/05,,,02/02/05,408.709991,1,01/11/05,391.019989,0,01/08/05,
02/11/06,283.369995,283.369995,283.369995,283.37 ,0,0,02/08/06,304.869995,1,02/05/06,405.329987,1,02/02/06,399.980011,1,01/11/06,387.899994,0,01/08/06,456.839996
02/11/07,272.369995,272.369995,272.369995,272.37 ,0,0,02/08/07,297.880005,1,02/05/07,404.130005,1,02/02/07,403.559998,1,01/11/07,397.73999,0,01/08/07,457.480011
02/11/08,266.600006,266.600006,266.600006,266.60 ,0,0,02/08/08,313.820007,1,02/05/08,414.029999,1,02/02/08,402.01001,0,01/11/08,406.160004,0,01/08/08,448.640015
02/11/11,263.730011,263.730011,263.730011,263.73 ,0,,02/08/11,,,02/05/11,,,02/02/11,409.089996,1,01/11/11,,,01/08/11,
02/11/12,269.299988,269.299988,269.299988,269.30 ,0,0,02/08/12,311.369995,0,02/05/12,,,02/02/12,405.75,1,01/11/12,395.350006,0,01/08/12,
02/11/13,265.529999,265.529999,265.529999,265.53 ,0,0,02/08/13,313.890015,1,02/05/13,410.540009,1,02/02/13,408.529999,1,01/11/13,403.869995,0,01/08/13,439.459991
02/11/14,274.519989,274.519989,274.519989,274.52 ,0,0,02/08/14,306.73999,1,02/05/14,415.200012,1,02/02/14,411.040009,1,01/11/14,404.589996,0,01/08/14,443.309998
02/11/15,274.76001,274.76001,274.76001,274.76 ,0,0,02/08/15,312.910004,1,02/05/15,417.100006,1,02/02/15,404.600006,0,01/11/15,407.76001,0,01/08/15,438.910004
02/11/18,276.600006,276.600006,276.600006,276.60 ,0,,02/08/18,,,02/05/18,,,02/02/18,404.779999,1,01/11/18,,,01/08/18,
02/11/19,275.730011,275.730011,275.730011,275.73 ,0,0,02/08/19,326.350006,0,02/05/19,,,02/02/19,397.709991,0,01/11/19,419.950012,0,01/08/19,
02/11/20,276.049988,276.049988,276.049988,276.05 ,0,0,02/08/20,320.980011,1,02/05/20,412.709991,1,02/02/20,398.73999,0,01/11/20,414.390015,0,01/08/20,422.670013
02/11/21,283.089996,283.089996,283.089996,283.09 ,0,0,02/08/21,328.529999,1,02/05/21,411.390015,1,02/02/21,403.26001,0,01/11/21,413.540009,0,01/08/21,423.269989
02/11/22,284.290009,284.290009,284.290009,284.29 ,0,0,02/08/22,331.540009,1,02/05/22,406.980011,1,02/02/22,396.980011,0,01/11/22,416.579987,0,01/08/22,423.350006
