,Date,Open,High,Low,Close,Volume,Election_date,X3M_before,Close_3M_before,X3M_UP_DOWN,X6M_before,Close_6M_before,X6M_UP_DOWN,X9M_before,Close_9M_before,X9M_UP_DOWN,X12_before,Close_12_before,X12M_UP_DOWN,X15_before,Close_15_before,stock_gr
9626,07/01/01,595.109985,595.109985,595.109985,595.11,0,1,06/09/29,540.580017,0,06/06/29,501.230011,0,06/03/29,533.5,1,05/12/29,483.320007,1,05/09/29,449.149994,10.08731363
9690,07/04/01,632.049988,632.049988,632.049988,632.05,0,NA,06/12/30,NA,NA,06/09/30,NA,NA,06/06/30,510.399994,0,06/03/30,539.25,1,05/12/30,479.589996,6.207255801
9751,07/07/01,722.140015,722.140015,722.140015,722.14,0,1,07/03/29,630.280029,0,06/12/29,595.109985,1,06/09/29,540.580017,1,06/06/29,501.230011,0,06/03/29,533.5,14.25361918
9816,07/10/01,706.080017,706.080017,706.080017,706.08,0,0,07/06/28,714.900024,0,07/03/28,622.590027,1,06/12/28,595.869995,1,06/09/28,538.799988,1,06/06/28,490.390015,-2.223945495
9878,08/01/01,716.650024,716.650024,716.650024,716.65,0,1,07/09/28,706.080017,1,07/06/28,714.900024,1,07/03/28,622.590027,1,06/12/28,595.869995,1,06/09/28,538.799988,1.496997507
9940,08/04/01,587.23999,587.23999,587.23999,587.24,0,NA,07/12/31,NA,NA,07/09/30,NA,NA,07/06/30,NA,NA,07/03/31,NA,NA,06/12/31,NA,-18.05762925
10004,08/07/01,580.400024,580.400024,580.400024,580.4,0,NA,08/03/30,NA,NA,07/12/30,NA,NA,07/09/30,NA,NA,07/06/30,NA,NA,07/03/30,632.049988,-1.164770792
10070,08/10/01,513.099976,513.099976,513.099976,513.1,0,0,08/06/30,580.400024,0,08/03/30,NA,NA,07/12/30,NA,NA,07/09/30,NA,NA,07/06/30,NA,-11.59545141
10132,09/01/01,411.51001,411.51001,411.51001,411.51,0,0,08/09/30,513.099976,1,08/06/30,580.400024,1,08/03/30,NA,NA,07/12/30,NA,NA,07/09/30,NA,-19.7992594
10195,09/04/01,348.980011,348.980011,348.980011,348.98,0,NA,08/12/31,NA,NA,08/09/30,513.099976,0,08/06/30,580.400024,0,08/03/31,587.23999,0,07/12/31,NA,-15.19525649
10257,09/07/01,415.070007,415.070007,415.070007,415.07,0,1,09/03/30,341.109985,1,08/12/30,411.51001,0,08/09/30,513.099976,0,08/06/30,580.400024,0,08/03/30,NA,18.93804803
10323,09/10/01,494.350006,494.350006,494.350006,494.35,0,1,09/06/30,415.070007,0,09/03/30,341.109985,0,08/12/30,411.51001,0,08/09/30,513.099976,0,08/06/30,580.400024,19.1003927
10386,10/01/01,516.049988,516.049988,516.049988,516.05,0,1,09/09/30,494.350006,0,09/06/30,415.070007,1,09/03/30,341.109985,0,08/12/30,411.51001,0,08/09/30,513.099976,4.389602508
10449,10/04/01,535.640015,535.640015,535.640015,535.64,0,NA,09/12/31,NA,NA,09/09/30,494.350006,1,09/06/30,415.070007,1,09/03/31,348.980011,0,08/12/31,NA,3.796143785
10512,10/07/01,518.869995,518.869995,518.869995,518.87,0,0,10/03/30,534.419983,0,09/12/30,516.049988,1,09/09/30,494.350006,1,09/06/30,415.070007,1,09/03/30,341.109985,-3.130834142
10578,10/10/01,545.460022,545.460022,545.460022,545.46,0,1,10/06/30,518.869995,1,10/03/30,534.419983,1,09/12/30,516.049988,1,09/09/30,494.350006,1,09/06/30,415.070007,5.124597683
10642,11/01/01,611.299988,611.299988,611.299988,611.3,0,1,10/09/30,545.460022,0,10/06/30,518.869995,0,10/03/30,534.419983,1,09/12/30,516.049988,1,09/09/30,494.350006,12.07054596
10706,11/04/01,622.969971,622.969971,622.969971,622.97,0,NA,10/12/31,NA,NA,10/09/30,545.460022,1,10/06/30,518.869995,0,10/03/31,535.640015,0,09/12/31,NA,1.909046295
10769,11/07/01,651.429993,651.429993,651.429993,651.43,0,1,11/03/30,624.140015,0,10/12/30,611.299988,1,10/09/30,545.460022,1,10/06/30,518.869995,0,10/03/30,534.419983,4.568438288
